total_kWhDelivered,carsCharging,carsIdle,Holiday,Weekday
13.484833333333334,3,2,False,2
10.215333333333334,2,3,False,3
6.9863333333333335,1,4,False,3
6.9863333333333335,1,4,False,3
6.9863333333333335,1,4,False,3
0.0,0,5,False,3
0.0,0,4,False,3
0.0,0,3,False,3
8.57675,2,2,False,3
40.878125000000004,10,2,False,3
60.17705,20,5,False,3
57.25117857142857,19,9,False,3
41.03601190476191,15,13,False,3
38.465978571428565,15,15,False,3
40.29376859532267,16,14,False,3
20.067845238095238,9,19,False,3
13.410228571428572,6,20,False,3
23.45135357142857,5,18,False,3
20.303,3,12,False,3
20.412,5,6,False,3
19.030333333333335,4,4,False,3
37.505833333333335,8,1,False,3
16.308833333333332,4,1,False,3
4.401,1,2,False,3
0.0,0,3,False,3
1.768,1,2,False,4
0.0,0,2,False,4
0.0,0,2,False,4
0.0,0,2,False,4
0.0,0,2,False,4
7.560666666666666,2,1,False,4
9.091666666666667,2,1,False,4
11.819276433691963,3,1,False,4
51.53173359361152,12,2,False,4
55.47792968083351,18,3,False,4
47.20943452380952,18,11,False,4
38.778851190476196,15,16,False,4
28.133351190476194,13,16,False,4
28.37310119047619,13,18,False,4
24.703934523809522,12,18,False,4
9.772398809523809,7,19,False,4
13.907732142857142,7,12,False,4
3.114125,2,10,False,4
5.717714285714286,1,5,False,4
31.83271428571429,6,4,False,4
16.270714285714288,4,3,False,4
20.182214285714288,4,1,False,4
12.717214285714286,2,1,False,4
23.167547619047618,4,1,False,4
17.16854761904762,3,1,False,5
11.450833333333334,2,2,False,5
11.177166666666666,2,3,False,5
4.177666666666666,1,4,False,5
4.177666666666666,1,4,False,5
4.671,1,4,False,5
0.0,0,4,False,5
0.0,0,3,False,5
2.346,1,3,False,5
15.514500000000002,4,2,False,5
26.551833333333335,6,5,False,5
13.397333333333332,3,3,False,5
11.153333333333332,3,2,False,5
16.132916666666667,5,1,False,5
13.470916666666668,4,1,False,5
35.149249999999995,7,1,False,5
36.24633333333333,7,1,False,5
37.55008333333333,8,0,False,5
28.615750000000002,7,0,False,5
23.34075,5,0,False,5
7.792,2,1,False,5
14.5545,3,0,False,5
11.1955,2,1,False,5
0.0,0,1,False,5
12.194333333333333,2,1,False,6
7.931333333333334,1,1,False,6
7.931333333333334,1,1,False,6
0.0,0,2,False,6
3.702,1,2,False,6
3.702,1,2,False,6
0.0,0,2,False,6
0.0,0,2,False,6
0.0,0,2,False,6
7.2915,1,1,False,6
14.3085,2,1,False,6
7.2915,1,1,False,6
11.7325,2,1,False,6
14.559750000000001,3,0,False,6
34.431916666666666,7,0,False,6
24.217416666666665,5,2,False,6
11.514583333333334,3,0,False,6
16.508333333333333,4,0,False,6
7.873333333333333,2,0,False,6
10.644166666666667,3,0,False,6
14.4605,3,0,False,6
14.2085,2,0,False,6
3.9825,1,0,False,6
0.0,0,1,False,6
4.216666666666667,1,1,False,0
4.216666666666667,1,1,False,0
4.216666666666667,1,1,False,0
0.0,0,2,False,0
0.0,0,2,False,0
3.8776666666666664,1,0,False,0
6.431666666666667,2,0,False,0
16.1925,4,0,False,0
42.628292093359086,13,2,False,0
64.54942790436144,24,4,False,0
50.847848765431145,22,10,False,0
42.55780321584942,19,11,False,0
37.587719882516076,17,14,False,0
30.02788654918275,13,18,False,0
31.08610321584942,11,19,False,0
26.162077380952375,8,18,False,0
29.588696428571428,6,13,False,0
34.573949999999996,8,4,False,0
31.09728333333333,6,2,False,0
23.187283333333333,4,0,False,0
21.428283333333333,5,0,False,0
13.714200000000002,3,1,False,0
3.306,1,1,False,0
3.306,1,1,False,0
0.0,0,2,False,1
2.212,1,2,False,1
2.212,1,2,False,1
2.212,1,2,False,1
2.212,1,2,False,1
12.315833333333334,3,1,False,1
10.103833333333334,2,1,False,1
19.396250000000002,5,1,False,1
40.57433333333333,12,3,False,1
67.3115,21,6,False,1
41.038,15,12,False,1
26.622750000000003,11,16,False,1
28.24132142857143,10,18,False,1
37.38890476190476,12,20,False,1
37.272238095238095,11,20,False,1
13.439571428571428,6,20,False,1
17.336321428571427,5,13,False,1
24.590071428571427,6,7,False,1
20.947488095238093,5,6,False,1
23.02875,6,5,False,1
32.554249999999996,8,4,False,1
20.538083333333333,4,2,False,1
19.555999999999997,3,4,False,1
6.6115,1,3,False,1
0.0,0,4,False,2
0.0,0,4,False,2
4.928,1,4,False,2
4.928,1,4,False,2
0.0,0,5,False,2
3.863,1,5,False,2
11.416,3,3,False,2
13.822,4,2,False,2
53.1124,13,3,False,2
54.360716666666676,23,9,False,2
43.00013333333334,18,18,False,2
38.20763333333333,17,19,False,2
31.292966666666665,14,21,False,2
19.012649999999997,11,23,False,2
14.907199999999998,8,25,False,2
22.625699999999995,9,24,False,2
18.8142,7,21,False,2
30.063616666666668,8,14,False,2
28.759516666666666,8,6,False,2
46.95765,8,4,False,2
31.433483333333335,7,2,False,2
22.274733333333334,5,3,False,2
9.8474,3,4,False,2
3.391,1,5,False,2
3.391,1,5,False,3
1.9915714285714288,1,6,False,3
1.9915714285714288,1,6,False,3
1.9915714285714288,1,6,False,3
1.9915714285714288,1,5,False,3
5.859238095238095,2,5,False,3
5.859238095238095,2,4,False,3
24.352204761904762,8,2,False,3
41.55896666666666,13,4,False,3
62.80963333333333,24,7,False,3
57.724800000000016,26,9,False,3
37.565533333333335,18,16,False,3
31.40106666666667,16,17,False,3
24.056733333333334,13,18,False,3
21.19065,8,20,False,3
13.52915,5,15,False,3
29.00325,7,10,False,3
20.797583333333336,6,4,False,3
16.626833333333334,3,2,False,3
45.508750000000006,8,1,False,3
23.56641666666667,5,2,False,3
27.731833333333334,6,0,False,3
23.588666666666665,6,0,False,3
18.38775,5,0,False,3
7.364083333333333,2,3,False,4
3.5753333333333335,1,4,False,4
0.0,0,5,False,4
0.0,0,5,False,4
0.0,0,4,False,4
0.0,0,3,False,4
4.007,1,2,False,4
15.7195,4,1,False,4
25.698561904761902,9,3,False,4
61.153407142857134,22,4,False,4
51.392973809523816,21,12,False,4
47.96280714285715,22,13,False,4
41.769973809523805,20,14,False,4
35.49409047619047,18,19,False,4
26.84442380952381,15,22,False,4
19.423861904761907,10,23,False,4
22.354599999999998,7,17,False,4
14.246599999999999,4,10,False,4
13.2016,3,5,False,4
5.7623999999999995,2,3,False,4
5.383133333333333,2,2,False,4
21.687733333333334,6,2,False,4
18.389133333333334,5,1,False,4
19.605133333333335,5,1,False,4
17.202333333333335,4,2,False,5
12.532333333333334,3,3,False,5
3.2214,1,4,False,5
0.0,0,5,False,5
0.0,0,5,False,5
5.688714285714285,2,5,False,5
1.9857142857142858,1,5,False,5
10.481714285714286,3,5,False,5
30.54638095238095,6,5,False,5
13.928380952380952,4,5,False,5
10.744380952380952,4,6,False,5
9.036714285714286,3,7,False,5
4.6815,3,7,False,5
14.678833333333333,3,4,False,5
19.384666666666668,5,2,False,5
29.622166666666665,6,2,False,5
26.671233333333337,8,3,False,5
26.532,4,6,False,5
26.261699999999998,5,5,False,5
24.2817,6,3,False,5
15.2552,3,1,False,5
14.282174999999999,4,0,False,5
18.534575,5,1,False,5
4.953374999999999,2,2,False,5
