DatasetYear,AnalysisPreconditions,CalcYear,ConnectionPointCode,ConnectionPointName,ConnectionPointLongitude,ConnectionPointLatitude,ProductionSurplus_MWh,ProductionRatioSolar,ProductionRatioThermal,ProductionRatioWind
2021-01-01,ProduktionsReference,2025-01-01,SØN,150 KV STATION SØNDERBORG,9.781579,54.923672,-217539.1296,22.4,42.4884,35.2
2021-01-01,ProduktionsReference,2025-01-01,SNR,Snævre,11.628658,55.648904,-9922.457787,5.3,0,94.7
2021-01-01,ProduktionsReference,2025-01-01,SML,Store Merløse,11.70155,55.54965,-18651.30762,67.3,0,32.7
2021-01-01,ProduktionsReference,2025-01-01,SMK,132 KV SVANEMØLLE KBST,12.580626,55.710065,-638324.7501,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,SLS,SlagelseSkælskørvej,11.340263,55.38624,-89087.00158,31.4,0,68.6
2021-01-01,ProduktionsReference,2025-01-01,SLØ,Slagelse øst,11.382628,55.413665,-6354.732913,76.3,0,23.7
2021-01-01,ProduktionsReference,2025-01-01,SLA,Slagelse,11.341194,55.41473,-18528.3568,4.5,88.308,7.2
2021-01-01,ProduktionsReference,2025-01-01,SKK,Skælskør,11.319908,55.25503,-29584.78292,6,5.9911,88
2021-01-01,ProduktionsReference,2025-01-01,SKEØ,Skellingsted,11.45938,55.581375,-16938.46324,14,0,86
2021-01-01,ProduktionsReference,2025-01-01,SKA,150 KV STATION SKANSEN,9.928998,57.06724,-85033.96031,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,SIN,Sindbjerg,8.691105,56.745496,61741.07482,17.4,0,82.6
2021-01-01,ProduktionsReference,2025-01-01,SIB,132 KV STATION SKIBBYGÅRD,11.931619,55.737882,-70071.35231,35.9,0,64.1
2021-01-01,ProduktionsReference,2025-01-01,SHE,220 KV STATION ENSTEDVÆRKET,9.43221,55.019248,-291960.6652,17.8,15.456,66.8
2021-01-01,ProduktionsReference,2025-01-01,SFE,150 KV STATION SDR FELDING,8.797765,55.952752,-21363.82712,15.7,0,84.3
2021-01-01,ProduktionsReference,2025-01-01,SCA,Scanglas,11.160784,55.323833,-16363.79265,1.4,98.6498,0
2021-01-01,ProduktionsReference,2025-01-01,SBY,Sæbyø,11.291597,55.545151,-26214.72872,7.8,0,92.2
2021-01-01,ProduktionsReference,2025-01-01,SBA,150 KV STATION STARBAKKE,10.459528,57.458087,-293816.6182,11,33.3994,55.6
2021-01-01,ProduktionsReference,2025-01-01,SAX,Sakskøbing,11.642309,54.790343,40298.24061,1.4,78.3302,20.3
2021-01-01,ProduktionsReference,2025-01-01,RYT,150 KV STATION RYTTERGÅRD,9.712238,55.589658,-445132.082,6.3,90.1511,3.6
2021-01-01,ProduktionsReference,2025-01-01,RYEØ,Rye,11.2384,55.52606,-18178.63646,5.5,0,94.5
2021-01-01,ProduktionsReference,2025-01-01,RSN,Røsnæs,11.016188,55.721136,-32791.23609,67,0,33
2021-01-01,ProduktionsReference,2025-01-01,RSL,Roslev,8.961978,56.709485,235199.5083,19,0.9326,80
2021-01-01,ProduktionsReference,2025-01-01,RØDØ,Rødovregård,12.45487,55.6856,-65436.72794,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,RIS,Ris,11.431085,55.813327,-45863.49549,28.5,0,71.5
2021-01-01,ProduktionsReference,2025-01-01,RINØ,Ringsted,11.749541,55.437426,341313.2124,97.4,0,2.6
2021-01-01,ProduktionsReference,2025-01-01,RIB,150 KV STATION RIBE,8.801381,55.326131,-128150.6261,6.7,22.1762,71.1
2021-01-01,ProduktionsReference,2025-01-01,REM,Remkolde,11.858859,55.051288,385.964127,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,RBYØ,Rødby,11.390534,54.707375,688041.6244,85.4,0,14.6
2021-01-01,ProduktionsReference,2025-01-01,RBH,Rødbyhavn,11.363921,54.66098,-80617.59392,1,0,99
2021-01-01,ProduktionsReference,2025-01-01,RAM,150 KV STATION RAMME,8.218043,56.491738,510774.8713,1.1,4.3314,94.6
2021-01-01,ProduktionsReference,2025-01-01,RAH,Rabenshuse,11.151566,55.642892,-34436.13047,7,0,93
2021-01-01,ProduktionsReference,2025-01-01,RADØ,Radsted,11.688436,54.788187,1760036.505,22.8,0,77.2
2021-01-01,ProduktionsReference,2025-01-01,PRS,Præstø,12.025591,55.117938,-16417.09427,6.6,70.7802,22.6
2021-01-01,ProduktionsReference,2025-01-01,PED,Pedersborg,11.546265,55.455459,-30676.59994,6.1,93.9479,0
2021-01-01,ProduktionsReference,2025-01-01,OVE,OdenseVest,10.2918,55.36888,-395447.3028,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,ØTB,øtb,12,55,-7362.784011,40.6,0,59.4
2021-01-01,ProduktionsReference,2025-01-01,OST,132 KV STATION OSTEDGÅRD,11.987837,55.576426,-72387.08622,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,OSØ,150 KV STATION ODENSE SYDØST,10.447992,55.394346,-362122.3395,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,ØSH,132 KV STATION ØSTERHOLM,11.742199,55.204789,7577.349805,0,53.6919,46.3
2021-01-01,ProduktionsReference,2025-01-01,ORT,Ortved,11.847285,55.487936,-39426.51653,78.1,0,21.9
2021-01-01,ProduktionsReference,2025-01-01,ØRN,Ørnegård,12.521159,55.756802,-73976.56007,1.7,98.3394,0
2021-01-01,ProduktionsReference,2025-01-01,ORH,132 KV STATION OREHOVED,11.84426,54.953432,-18978.95786,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,ØMA,Ølsemagle,12.170069,55.497769,-97406.23447,9.6,90.4099,0
2021-01-01,ProduktionsReference,2025-01-01,ØLS,132 KV STATION ØLSTYKKEGÅRD,12.14098,55.764677,-133402.4241,90.3,8.5579,1.2
2021-01-01,ProduktionsReference,2025-01-01,ODS,Odsherred,11.602473,55.878889,-82560.41813,29.6,42.1181,28.2
2021-01-01,ProduktionsReference,2025-01-01,NYS,NykøbingS,11.659688,55.918382,-57575.34608,9.8,87.4861,2.8
2021-01-01,ProduktionsReference,2025-01-01,NYR,132 KV STATION NYRUP,11.641898,55.544762,-34182.556,10.4,0,89.6
2021-01-01,ProduktionsReference,2025-01-01,NYMØ,Nymøllegård,12.173529,55.645133,-70802.83622,55.1,12.4484,32.4
2021-01-01,ProduktionsReference,2025-01-01,NVV,150 KV STATION VENDSYSSELVÆRKET,10.044791,57.074715,2037352.276,0,98.5564,1.4
2021-01-01,ProduktionsReference,2025-01-01,NVO,Novo,11.117061,55.674791,-119066.0893,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,NVN,NovoNord,11.125919,55.674764,-123557.82,1.9,98.1077,0
2021-01-01,ProduktionsReference,2025-01-01,NSV,132 KV STATION NÆSTVED,11.712156,55.248138,28424.78745,2,56.5217,41.5
2021-01-01,ProduktionsReference,2025-01-01,NST,Nordstrand,12.186384,55.470888,14693.33786,0.6,99.4444,0
2021-01-01,ProduktionsReference,2025-01-01,NSP,150 KV STATION NIBSTRUP,9.980218,57.267745,-66141.43156,4.6,34.378,61
2021-01-01,ProduktionsReference,2025-01-01,NORØ,Nordgård,12.296784,56.059959,-51120.55436,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,NOR,150 KV STATION NORS,8.701633,57.0307,109678.8472,24.6,16.1374,59.3
2021-01-01,ProduktionsReference,2025-01-01,NOD,NøjsomhedsOdde,11.086818,54.929678,76536.93222,0,0,100
2021-01-01,ProduktionsReference,2025-01-01,NKV,NæstvedKraftvarmeværk,11.71263,55.248769,21701.00044,0,100,0
2021-01-01,ProduktionsReference,2025-01-01,NAM,132 KV STATION NR. ASMINDRUP,11.60274,55.870994,5545.697281,0.6,22.2316,77.2
2021-01-01,ProduktionsReference,2025-01-01,NAL,Nr.Alslev,11.894258,54.904705,-21159.44598,9.1,0,90.9
2021-01-01,ProduktionsReference,2025-01-01,NAK,Nakskov,11.126515,54.840182,-15026.94375,2.8,0,97.2
2021-01-01,ProduktionsReference,2025-01-01,MRN,Mern,12.074432,55.01883,-21544.09444,63.9,0,36.1
2021-01-01,ProduktionsReference,2025-01-01,MOSV,Mosbæk,9.616853,56.803428,-101168.3838,4.8,28.1321,67.1
2021-01-01,ProduktionsReference,2025-01-01,MOSØ,132 KV STATION MOSEDEGÅRD,12.259189,55.583862,-139583.0693,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,MØN,Møn,12.251112,54.959369,-20029.05233,27.5,1.0176,71.5
2021-01-01,ProduktionsReference,2025-01-01,MML,Maglemølle,11.751491,55.224739,-60700.67723,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,MLU,150 KV STATION MOSELUND,10.094372,56.429928,-97775.32921,10.4,64.3206,25.3
2021-01-01,ProduktionsReference,2025-01-01,MLP,150 KV STATION MOLLERUP,10.189114,56.211192,-186194.596,7.2,74.7112,18.1
2021-01-01,ProduktionsReference,2025-01-01,MKS,400 KV STATION STUDSTRUP,10.341476,56.251136,1566801.511,0,100,0
2021-01-01,ProduktionsReference,2025-01-01,MES,150 KV STATION MESBALLE,10.499262,56.365961,-47047.15752,59.8,0.3359,39.9
2021-01-01,ProduktionsReference,2025-01-01,MDR,Mørdrupgård,12.527516,55.993441,-77811.25688,57.8,42.1593,0
2021-01-01,ProduktionsReference,2025-01-01,MBYØ,Munkeby,11.105833,54.764159,59109.58331,1,0,99
2021-01-01,ProduktionsReference,2025-01-01,MAV,132 KV STATION MASNEDØVÆRKET,11.882397,54.995197,-13853.60076,0.7,99.2624,0
2021-01-01,ProduktionsReference,2025-01-01,MARØ,Maribo,11.489259,54.781843,43189.7873,56.5,0,43.5
2021-01-01,ProduktionsReference,2025-01-01,MÅLØ,132 KV STATION MÅLØVGÅRD,12.326086,55.744173,-199110.3909,2.5,97.4844,0
2021-01-01,ProduktionsReference,2025-01-01,MAL,150 KV STATION  MALLING,10.140377,56.048323,-222578.3124,26.3,5.2723,68.4
2021-01-01,ProduktionsReference,2025-01-01,MAGV,Magstrup,9.368362,55.281764,-250105.8526,7.6,33.159,59.2
2021-01-01,ProduktionsReference,2025-01-01,MAGØ,Maglegård,12.56862,55.74288,-145354.5512,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,MÅD,Måde,8.509329,55.462855,105289.9769,0,100,0
2021-01-01,ProduktionsReference,2025-01-01,LYNØ,Lyngbygård,12.51374,55.77084,-170893.4374,1.9,98.1225,0
2021-01-01,ProduktionsReference,2025-01-01,LYK,150 KV STATION LYKKEGÅRD OG VKE,8.504054,55.466811,-448657.3523,4.7,1.4996,93.8
2021-01-01,ProduktionsReference,2025-01-01,LYG,Lynge,11.52606,55.361009,-2702.075465,5.2,0,94.8
2021-01-01,ProduktionsReference,2025-01-01,LUP,132 KV STATION LYNGERUP,11.983916,55.799766,-51048.6904,13.1,0,86.9
2021-01-01,ProduktionsReference,2025-01-01,LOL,Loldrup,9.434011,56.485776,-17487.13872,5.2,80.096,14.7
2021-01-01,ProduktionsReference,2025-01-01,LKR,Lemkær,8.332421,56.064804,411280.0333,3.8,5.9998,90.2
2021-01-01,ProduktionsReference,2025-01-01,LINØ,Lindevang,12.502751,55.688234,-162016.7409,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,LILØ,Lillevang,11.947338,55.045048,63834.81126,87.2,10.0798,2.8
2021-01-01,ProduktionsReference,2025-01-01,LAG,150 KV STATION LANDERUPGAARD,9.545884,55.563049,400980.7272,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,KYV,132 KV STATION KYNDBYVÆRKET,11.880343,55.81247,0,,,
2021-01-01,ProduktionsReference,2025-01-01,KVA,Kvarmløse,11.790182,55.614462,-28501.93735,9.3,0,90.7
2021-01-01,ProduktionsReference,2025-01-01,KSV,132 KV STATION KIRKESKOVGÅRD,11.879289,55.623101,-78389.96303,23.9,0.835,75.3
2021-01-01,ProduktionsReference,2025-01-01,KRL,Karlstrup,12.20485,55.54376,-32333.71933,7.2,58.9065,33.9
2021-01-01,ProduktionsReference,2025-01-01,KRIØ,Karise,12.222683,55.320532,21312.85631,81.6,0,18.4
2021-01-01,ProduktionsReference,2025-01-01,KRB,Kringelborg,11.896153,54.75518,-58801.18431,36,0,64
2021-01-01,ProduktionsReference,2025-01-01,KORØ,Korsør,11.197818,55.325099,-29358.36152,28.3,0,71.7
2021-01-01,ProduktionsReference,2025-01-01,KØB,Købelev,11.123158,54.899851,78852.76519,6.9,0,93.1
2021-01-01,ProduktionsReference,2025-01-01,KNUØ,Sct.KnudsVej,12.549418,55.678318,-140711.5122,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,KNA,150 KV STATION KNABBERUP,9.49002,55.713046,-278617.2199,60.9,15.7655,23.4
2021-01-01,ProduktionsReference,2025-01-01,KLF,Klimfjordholme,9.144175,57.05762,411077.4903,1.8,0,98.2
2021-01-01,ProduktionsReference,2025-01-01,KIM,Kimmerslev,11.990696,55.472236,-24948.33119,10.2,62.0546,27.8
2021-01-01,ProduktionsReference,2025-01-01,KIL,Kildegård,12.535276,55.742588,-76540.01226,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,KGS,SønderKøge,12.170097,55.436738,-32027.2166,23.8,76.212,0
2021-01-01,ProduktionsReference,2025-01-01,KGE,Køge,12.163968,55.466288,-105389.0515,24.5,75.4518,0
2021-01-01,ProduktionsReference,2025-01-01,KEB,Keldby,12.355205,54.983458,-28911.28369,10,0,90
2021-01-01,ProduktionsReference,2025-01-01,KDR,Kæderup,12.116627,55.327295,22813.82169,15.8,0,84.2
2021-01-01,ProduktionsReference,2025-01-01,KBYØ,Karleby,11.625884,54.712801,-2114.621809,36,22.8988,41.1
